"","spp","grow","n.grow","sd.grow","skel","n.skel","sd.skel","calc","n.calc","sd.calc","corwidth","n.corwidth","cmd","n.cmd","col","repmode","sex","symb","branching","encrusting","laminar","massive","submassive","lifehist","iucn"
"1","Acropora abrotanoides",127.5,1,NA,NA,NA,NA,NA,NA,NA,0.95,2,NA,NA,"colonial","spawner","hermaphrodite",NA,1,0,0,0,0,NA,"LC"
"2","Acropora aspera",48.5226,40,14.0056643134676,0.92,1,NA,NA,NA,NA,1.4,2,NA,NA,"colonial","spawner","hermaphrodite",NA,1,0,0,0,0,"competitive","VU"
"3","Acropora austera",62.9,1,NA,1.44,1,NA,1.82,1,NA,1.05,2,NA,NA,"colonial",NA,NA,NA,1,0,0,0,0,NA,"NT"
"4","Acropora cerealis",42.9,4,20.5573993167099,NA,NA,NA,NA,NA,NA,0.55,2,50,2,"colonial","spawner","hermaphrodite",NA,2,0,0,0,0,"competitive","LC"
"5","Acropora cervicornis",78.8167647058823,51,67.1599766142271,1.60616666666667,24,0.824423522788825,7.66666666666667,18,3.51935823026602,1.4,2,111,2,"colonial","spawner","hermaphrodite","no",1,0,0,0,0,"competitive","CR"
"6","Acropora cytherea",59.725,4,29.8844859417056,NA,NA,NA,NA,NA,NA,0.85,2,300,3,"colonial",NA,NA,NA,0,0,1,0,0,"competitive","LC"
"7","Acropora digitifera",37.6,1,NA,1.52,1,NA,2.29,1,NA,1.1,2,100,1,"colonial","spawner","hermaphrodite",NA,0,0,1,0,1,NA,"NT"
"8","Acropora divaricata",41.5,1,NA,NA,NA,NA,NA,NA,NA,0.9,2,NA,NA,"colonial","spawner","hermaphrodite",NA,0,0,1,0,0,"competitive","NT"
"9","Acropora elseyi",135.05,2,61.9425540319416,NA,NA,NA,NA,NA,NA,0.75,2,50,2,"colonial","spawner","hermaphrodite","no",1,0,0,0,0,"competitive","LC"
"10","Acropora eurystoma",34.6285714285714,2,25.6982807334082,NA,NA,NA,NA,NA,NA,1.6,2,NA,NA,"colonial","spawner","hermaphrodite",NA,NA,NA,NA,NA,NA,NA,"DD"
"11","Acropora gemmifera",24,1,NA,1.47,1,NA,1.42,1,NA,1.3,2,NA,NA,"colonial","spawner","hermaphrodite",NA,0,0,0,0,1,"competitive","LC"
"12","Acropora gomezi",30.56875,2,39.3593312077962,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"colonial",NA,NA,NA,1,0,0,0,0,NA,"DD"
