"","spp","modgen","pastgen","RDB3.status","First.known","Last.known","grow","n.grow","sd.grow","skel","n.skel","sd.skel","calc","n.calc","sd.calc","corwidth","n.corwidth","cmd","n.cmd","col","repmode","sex","symb","branching","encrusting","laminar","massive","submassive","lifehist","iucn"
"1","Acropora abrotanoides","Acropora","Acropora","DD","1992 (REST Survey)","1995 (Loo & Chou)",127.5,1,NA,NA,NA,NA,NA,NA,NA,0.95,2,NA,NA,"colonial","spawner","hermaphrodite",NA,1,0,0,0,0,NA,"LC"
"2","Acropora aculeus","Acropora","Acropora","DD","1985 (ZRC, 19850701)","2018 (Wong et al)",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.9,2,40,2,"colonial","spawner","hermaphrodite",NA,1,0,0,0,0,NA,"VU"
"3","Acropora acuminata","Acropora","Acropora","VU","1986 (ZRC, 19860902)","2019 (Chow et al)",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.9,2,200,3,"colonial",NA,NA,NA,1,0,0,0,0,NA,"VU"
"4","Acropora anthocercis","Acropora","Acropora","VU","1995 (Loo & Chou)","2019 (Chow et al)",NA,NA,NA,NA,NA,NA,NA,NA,NA,1.05,2,100,2,"colonial","spawner","hermaphrodite",NA,1,0,1,0,0,NA,"VU"
"5","Acropora aspera","Acropora","Acropora","EN","2009 (Huang et al)","2020 (Quek et al)",48.5226,40,14.0056643134676,0.92,1,NA,NA,NA,NA,1.4,2,NA,NA,"colonial","spawner","hermaphrodite",NA,1,0,0,0,0,"competitive","VU"
"6","Acropora austera","Acropora","Acropora","DD","1881 (as Madrepora austera; Studer)","2009 (Huang et al)",62.9,1,NA,1.44,1,NA,1.82,1,NA,1.05,2,NA,NA,"colonial",NA,NA,NA,1,0,0,0,0,NA,"NT"
"7","Acropora cerealis","Acropora","Acropora","DD","1881 (as Madrepora cerealis; Studer)","2009 (Huang et al)",42.9,4,20.5573993167099,NA,NA,NA,NA,NA,NA,0.55,2,50,2,"colonial","spawner","hermaphrodite",NA,2,0,0,0,0,"competitive","LC"
"8","Acropora chesterfieldensis","Acropora","Acropora","DD","1991 (ZRC, 19910600)","1995 (Loo & Chou)",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.85,2,NA,NA,"colonial",NA,NA,NA,1,0,0,0,1,NA,"LC"
"9","Acropora cytherea","Acropora","Acropora","DD","1956 (as Acropora cf. corymbosa; Purchon)","2009 (Huang et al)",59.725,4,29.8844859417056,NA,NA,NA,NA,NA,NA,0.85,2,300,3,"colonial",NA,NA,NA,0,0,1,0,0,"competitive","LC"
"10","Acropora dendrum","Acropora","Acropora","DD","1986 (ZRC, 19860909)","1989 (Goh et al)",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.85,2,100,3,"colonial","spawner",NA,NA,1,0,0,0,0,NA,"VU"
"11","Acropora digitifera","Acropora","Acropora","EN","2005 (Guest et al (a))","2012 (Ng et al)",37.6,1,NA,1.52,1,NA,2.29,1,NA,1.1,2,100,1,"colonial","spawner","hermaphrodite",NA,0,0,1,0,1,NA,"NT"
"12","Acropora divaricata","Acropora","Acropora","DD","1881 (as Madrepora tenuispicata; Studer)","1985 (ZRC, 19850802)",41.5,1,NA,NA,NA,NA,NA,NA,NA,0.9,2,NA,NA,"colonial","spawner","hermaphrodite",NA,0,0,1,0,0,"competitive","NT"
"13","Acropora donei","Acropora","Acropora","DD","1986 (ZRC, 19860829)","2009 (Huang et al)",NA,NA,NA,NA,NA,NA,NA,NA,NA,1.1,2,300,3,"colonial","spawner","hermaphrodite",NA,1,0,0,0,0,NA,"VU"
"14","Acropora elseyi","Acropora","Acropora","DD","1995 (Loo & Chou)","1995 (Loo & Chou)",135.05,2,61.9425540319416,NA,NA,NA,NA,NA,NA,0.75,2,50,2,"colonial","spawner","hermaphrodite","no",1,0,0,0,0,"competitive","LC"
