spp,modgen,pastgen,grow,n.grow,sd.grow,skel,n.skel,sd.skel,calc,n.calc,sd.calc,corwidth,n.corwidth,cmd,n.cmd,col,repmode,sex,symb,branching,encrusting,laminar,massive,submassive,competitive,stress-tolerant,weedy,generalist,datadeficient,iucnLC,iucnNT,iucnVU,iucnEN,iucnDD,rdb3lc,rdb3nt,rdb3vu,rdb3en,rdb3cr,rdb3nex,rdb3dd,First.known.year,First.known,Last.known.year,Last.known
Acanthastrea echinata,Acanthastrea,Acanthastrea,12.6,1,NA,1.32,1,NA,1.66,1,NA,NA,NA,70,1,1,1,1,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1995,(Loo & Chou),2020,(Kikuzawa et al)
Acanthastrea rotundoflora,Acanthastrea,Acanthastrea,20.6,1,NA,1.05,1,NA,2.15,1,NA,NA,NA,50,1,1,1,NA,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,2009,(Huang et al),2020,(Ng et al)
Acropora abrotanoides,Acropora,Acropora,127.5,1,NA,NA,NA,NA,NA,NA,NA,0.95,2,NA,NA,1,1,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1992,(REST Survey),1995,(Loo & Chou)
Acropora aculeus,Acropora,Acropora,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.9,2,300,3,1,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1985,"(ZRC, 19850701)",2018,(Wong et al)
Acropora acuminata,Acropora,Acropora,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.9,2,200,3,1,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1986,"(ZRC, 19860902)",2019,(Chow et al)
Acropora anthocercis,Acropora,Acropora,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.05,2,100,2,1,1,1,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1995,(Loo & Chou),2019,(Chow et al)
Acropora aspera,Acropora,Acropora,48.5226,40,14.00566431,1.245,2,NA,1.91,1,NA,1.4,2,NA,NA,1,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,2009,(Huang et al),2020,(Quek et al)
Acropora austera,Acropora,Acropora,62.9,1,NA,1.44,1,NA,2.26,1,NA,1.05,2,NA,NA,1,1,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1881,(as Madrepora austera; Studer),2009,(Huang et al)
Acropora cerealis,Acropora,Acropora,42.9,4,20.55739932,NA,NA,NA,NA,NA,NA,0.55,2,50,2,1,1,1,0,2,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1881,(as Madrepora cerealis; Studer),2009,(Huang et al)
Acropora chesterfieldensis,Acropora,Acropora,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.85,2,NA,NA,1,1,NA,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1991,"(ZRC, 19910600)",1995,(Loo & Chou)
Acropora cytherea,Acropora,Acropora,59.725,4,29.88448594,1.29,1,NA,1.93,1,NA,0.85,2,300,3,1,1,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1956,(as Acropora cf. corymbosa; Purchon),2009,(Huang et al)
Acropora dendrum,Acropora,Acropora,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.85,2,100,3,1,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1986,"(ZRC, 19860909)",1989,(Goh et al)
Acropora digitifera,Acropora,Acropora,37.6,1,NA,1.48,2,NA,1.82,2,NA,1.1,2,100,1,1,1,1,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,2005,(Guest et al (a)),2012,(Ng et al)
Acropora divaricata,Acropora,Acropora,41.5,1,NA,NA,NA,NA,NA,NA,NA,0.9,2,80,1,1,1,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1881,(as Madrepora tenuispicata; Studer),1985,"(ZRC, 19850802)"
Acropora donei,Acropora,Acropora,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.1,2,300,3,1,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1986,"(ZRC, 19860829)",2009,(Huang et al)
Acropora elseyi,Acropora,Acropora,135.05,2,61.94255403,NA,NA,NA,NA,NA,NA,0.75,2,50,2,1,1,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1995,(Loo & Chou),1995,(Loo & Chou)
Acropora florida,Acropora,Acropora,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.05,2,1500,1,1,1,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1881,(as Madrepora gravida; Studer),2009,(Huang et al)
Acropora glauca,Acropora,Acropora,NA,NA,NA,1.46,1,NA,NA,NA,NA,1.1,2,NA,NA,1,1,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,2009,(Huang et al),2009,(Huang et al)
Acropora grandis,Acropora,Acropora,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.25,2,700,4,1,1,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1995,(Loo & Chou),2009,(Huang et al)
Acropora granulosa,Acropora,Acropora,7.16,3,1.814717609,NA,NA,NA,NA,NA,NA,0.65,2,100,4,1,1,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,2005,(Guest et al (a)),2009,(Huang et al)
Acropora horrida,Acropora,Acropora,NA,NA,NA,0.86,1,NA,NA,NA,NA,1.05,2,200,2,1,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1995,(Loo & Chou),1995,(Loo & Chou)
Acropora humilis,Acropora,Acropora,20.21666667,6,5.51086805,1.445384615,13,0.222696183,1.91,1,NA,1.4,2,NA,NA,1,1,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,2005,(Guest et al (a)),2009,(Huang et al)
Acropora hyacinthus,Acropora,Acropora,69.5,4,32.74711183,1.28,1,NA,2.22,1,NA,0.75,2,300,3,1,1,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1881,(as Madrepora surculosa; Studer),2019,(Chow et al)
Acropora intermedia,Acropora,Acropora,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.15,2,500,1,1,1,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,2002,(Guest et al),2009,(Huang et al)
Acropora latistella,Acropora,Acropora,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.75,2,NA,NA,1,1,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1986,"(ZRC, 19860829)",2009,(Huang et al)
Acropora longicyathus,Acropora,Acropora,NA,NA,NA,1.27,1,NA,NA,NA,NA,0.9,2,NA,NA,1,1,1,0,2,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1881,(as Madrepora longecyathus; Studer),1991,(Huang et al)
Acropora loripes,Acropora,Acropora,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.85,2,50,2,1,1,1,0,2,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,2005,(Guest et al (a)),2017,(Taira et al)
Acropora lutkeni,Acropora,Acropora,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.9,2,600,1,1,1,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1995,(Loo & Chou),1995,(Loo & Chou)
Acropora microclados,Acropora,Acropora,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.9,2,100,1,1,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1881,(as Madrepora microclados; Studer),2009,(Huang et al)
Acropora microphthalma,Acropora,Acropora,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.8,2,200,1,1,1,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1985,"(ZRC, 19850614)",2018,(Wong et al)
Acropora millepora,Acropora,Acropora,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,40,1,1,1,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1881,(as Madrepora convexa & M.millepora; Studer),2021,(Lee et al)
Acropora muricata,Acropora,Acropora,89.47058824,17,39.00753012,1.69125,5,0.635209939,2.73,2,NA,1,2,1000,2,1,1,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1881,(as Madrepora brachiata; Studer),2017,(REL collections)
Acropora nana,Acropora,Acropora,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.75,2,15,2,1,1,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1995,(Loo & Chou),1995,(Loo & Chou)
