Code,ID,Replicate,Site,Day,Month,Year,Date,Latitude,Longitude,Zone,Type,Depth,Surveyors,Reef,Acanthastrea,Acropora,Alveopora,Astreopora,Caulastraea,Coscinaraea,Cyphastrea,Dendrophyllia,Diploastrea,Echinophyllia,Echinopora,Euphyllia,Favia,Favites,Fungia,Galaxea,Gardineroseris,Goniastrea,Goniopora,Heliofungia,Heliopora,Herpolitha,Hydnophora,Leptastrea,Leptoria,Leptoseris,Lithophyllon,Lobophyllia,Madracis,Merulina,Millepora,Montastraea,Montipora,Mycedium,Oulastrea,Oulophyllia,Oxypora,Pachyseris,Pavona,Pectinia,Physogyra,Platygyra,Plerogyra,Plesiastrea,Pocillopora,Podabacia,Polyphyllia,Porites,Psammocora,Pseudosiderastrea,Scapophyllia,Stylocoeniella,Symphyllia,Trachyphyllia,Tubastraea,Turbinaria,Unknown
CY-N-D0-1989-3-1-T1,SGRET1001-1,1,CY-N,1,3,1989,1/3/1989,1.258333333,103.7586111,Crest,Patch,0,REST,Cyrene Reef,0,0,0,0,0,0,20,0,0,0,0,12,0,0,21,0,0,33,0,0,0,0,0,0,22,0,0,0,0,14,0,23,0,0,0,0,0,0,4,53,0,23,0,0,0,23,0,0,0,0,0,0,10,0,0,24,0
CY-N-D0-1989-3-1-T3,SGRET1001-3,3,CY-N,1,3,1989,1/3/1989,1.258333333,103.7586111,Crest,Patch,0,REST,Cyrene Reef,0,0,0,0,0,0,0,0,30,0,0,0,8,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0
CY-N-D0-1989-3-1-T4,SGRET1001-4,4,CY-N,1,3,1989,1/3/1989,1.258333333,103.7586111,Crest,Patch,0,REST,Cyrene Reef,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,6,0,0,0,0,0,0,0,0,0,0,15,0,0,18,0
CY-N-D0-1989-3-1-T5,SGRET1001-5,5,CY-N,1,3,1989,1/3/1989,1.258333333,103.7586111,Crest,Patch,0,REST,Cyrene Reef,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CY-N-D0-1991-11-20-T1,SGRET2017-1,1,CY-N,20,11,1991,20/11/1991,1.258333333,103.7586111,Slope,Patch,0,REST,Cyrene Reef,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CY-N-D0-1991-11-20-T2,SGRET2017-2,2,CY-N,20,11,1991,20/11/1991,1.258333333,103.7586111,Slope,Patch,0,REST,Cyrene Reef,0,0,0,0,0,0,19,0,0,0,6,0,0,0,0,0,0,0,0,0,0,10,16,0,0,0,37,0,0,0,0,32,0,0,0,0,0,0,0,60,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0
CY-N-D0-1991-11-20-T3,SGRET2017-3,3,CY-N,20,11,1991,20/11/1991,1.258333333,103.7586111,Slope,Patch,0,REST,Cyrene Reef,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0
CY-N-D0-1991-11-20-T4,SGRET2017-4,4,CY-N,20,11,1991,20/11/1991,1.258333333,103.7586111,Slope,Patch,0,REST,Cyrene Reef,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CY-N-D0-1991-11-20-T5,SGRET2017-5,5,CY-N,20,11,1991,20/11/1991,1.258333333,103.7586111,Slope,Patch,0,REST,Cyrene Reef,0,0,0,0,0,0,0,0,0,21,0,0,6,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,9,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,25,0
CY-N-D0-1993-7-20-T1,SGRET2056-1,1,CY-N,20,7,1993,20/7/1993,1.258333333,103.7586111,Crest,Patch,0,REST,Cyrene Reef,0,0,0,79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61,0,0,0,0,0,0,0,0,0
CY-N-D0-1993-7-20-T2,SGRET2056-2,2,CY-N,20,7,1993,20/7/1993,1.258333333,103.7586111,Crest,Patch,0,REST,Cyrene Reef,0,0,0,0,0,0,0,0,0,0,0,13,16,0,17,13,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,17,0,0,0,0,0,0,0,67,0,0,0,0,0,0,0,2,0
CY-N-D0-1993-7-20-T3,SGRET2056-3,3,CY-N,20,7,1993,20/7/1993,1.258333333,103.7586111,Crest,Patch,0,REST,Cyrene Reef,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,5,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,41,0,0,0,0,0,0,0,7,0
CY-N-D0-1993-7-20-T5,SGRET2056-5,5,CY-N,20,7,1993,20/7/1993,1.258333333,103.7586111,Crest,Patch,0,REST,Cyrene Reef,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
