Code,ID,Location,Site,Day,Month,Year,Date,Latitude,Longitude,Zone,Type,Depth,Replicate,Surveyors,Acanthastrea,Acropora,Alveopora,Astreopora,Caulastraea,Cladopsammia,Coscinaraea,Ctenactis,Cycloseris,Cyphastrea,Diploastrea,Dipsastraea,Echinophyllia,Echinopora,Euphyllia,Favites,Fungia,Galaxea,Goniastrea,Goniopora,Heliofungia,Heliopora,Herpolitha,Hydnophora,Isopora,Leptastrea,Leptoria,Leptoseris,Lithophyllon,Lobactis,Lobophyllia,Madracis,Merulina,Micromussa,Millepora,Montipora,Mycedium,Oulastrea,Oulophyllia,Oxypora,Pachyseris,Pavona,Pectinia,Physogyra,Platygyra,Plerogyra,Plesiastrea,Pleuractis,Pocillopora,Podabacia,Polyphyllia,Porites,Psammocora,Pseudosiderastrea,Scapophyllia,Stylocoeniella,Trachyphyllia,Tubastraea,Turbinaria,Unknown
CY-N-D0-1989-3-1-T1,SGRET1001-1,Cyrene Reef,CY-N,1,3,1989,1/03/1989,1.258333333,103.7586111,Crest,Patch,0,1,REST,0,0,0,0,0,0,0,0,0,20,0,0,0,0,12,23,0,0,33,0,0,0,0,0,0,0,22,0,21,0,10,0,14,0,0,0,0,0,0,0,0,4,53,0,23,0,0,0,0,23,0,0,0,0,0,0,0,0,24,0
CY-N-D0-1989-3-1-T3,SGRET1001-3,Cyrene Reef,CY-N,1,3,1989,1/03/1989,1.258333333,103.7586111,Crest,Patch,0,3,REST,0,0,0,0,0,0,0,0,0,0,30,8,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0
CY-N-D0-1989-3-1-T4,SGRET1001-4,Cyrene Reef,CY-N,1,3,1989,1/03/1989,1.258333333,103.7586111,Crest,Patch,0,4,REST,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,5,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0
CY-N-D0-1989-3-1-T5,SGRET1001-5,Cyrene Reef,CY-N,1,3,1989,1/03/1989,1.258333333,103.7586111,Crest,Patch,0,5,REST,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0
CY-N-D3-1986-4-29-T1,SGRET1002-1,Cyrene Reef,CY-N,29,4,1986,29/04/1986,1.258333333,103.7586111,Slope,Patch,3,1,REST,0,0,0,0,0,0,0,0,0,0,0,30,88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,22,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CY-N-D3-1986-4-29-T2,SGRET1002-2,Cyrene Reef,CY-N,29,4,1986,29/04/1986,1.258333333,103.7586111,Slope,Patch,3,2,REST,0,45,0,0,0,0,0,0,0,0,1065,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,15,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CY-N-D3-1986-4-29-T3,SGRET1002-3,Cyrene Reef,CY-N,29,4,1986,29/04/1986,1.258333333,103.7586111,Slope,Patch,3,3,REST,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CY-N-D3-1986-4-29-T4,SGRET1002-4,Cyrene Reef,CY-N,29,4,1986,29/04/1986,1.258333333,103.7586111,Slope,Patch,3,4,REST,0,0,0,0,0,0,0,0,0,0,0,0,0,60,0,0,0,0,20,230,0,0,10,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0
CY-N-D3-1986-4-29-T5,SGRET1002-5,Cyrene Reef,CY-N,29,4,1986,29/04/1986,1.258333333,103.7586111,Slope,Patch,3,5,REST,0,0,0,0,0,0,0,0,0,0,0,0,10,100,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,30,0,0,0,0,0,0,0,60,0,90,0,130,30,0,0,0,0,0,30,0,0,0,0,0,0,0,0
CY-N-D10-1987-5-25-T2,SGRET1004-2,Cyrene Reef,CY-N,25,5,1987,25/05/1987,1.258333333,103.7586111,Slope,Patch,10,2,REST,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,130,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CY-N-D10-1987-5-25-T3,SGRET1004-3,Cyrene Reef,CY-N,25,5,1987,25/05/1987,1.258333333,103.7586111,Slope,Patch,10,3,REST,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,6
CY-N-D10-1987-5-25-T5,SGRET1004-5,Cyrene Reef,CY-N,25,5,1987,25/05/1987,1.258333333,103.7586111,Slope,Patch,10,5,REST,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,125,0,19
CY-S-D0-1989-3-1-T1,SGRET1005-1,Cyrene Reef,CY-S,1,3,1989,1/03/1989,1.257222222,103.7533333,Crest,Patch,0,1,REST,0,0,0,0,0,0,0,0,0,0,0,7,0,22,14,9,0,0,2,7,0,0,0,0,0,0,0,0,0,0,13,0,27,0,0,0,9,0,0,0,0,0,19,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CY-S-D0-1989-3-1-T2,SGRET1005-2,Cyrene Reef,CY-S,1,3,1989,1/03/1989,1.257222222,103.7533333,Crest,Patch,0,2,REST,0,0,0,26,0,0,0,0,0,0,0,38,0,0,0,39,0,7,151,0,0,0,0,36,0,6,0,0,10,0,0,0,34,0,0,26,0,0,0,20,0,0,81,0,0,24,0,0,0,0,0,5,0,0,0,0,0,0,0,0
CY-S-D0-1989-3-1-T3,SGRET1005-3,Cyrene Reef,CY-S,1,3,1989,1/03/1989,1.257222222,103.7533333,Crest,Patch,0,3,REST,0,0,0,0,0,0,0,15,0,10,57,31,0,16,0,0,0,30,0,0,0,0,0,20,0,0,0,0,28,0,0,0,23,0,0,30,85,0,0,0,13,8,79,0,0,0,0,0,0,49,0,8,0,0,0,0,0,0,17,0
CY-S-D0-1989-3-1-T4,SGRET1005-4,Cyrene Reef,CY-S,1,3,1989,1/03/1989,1.257222222,103.7533333,Crest,Patch,0,4,REST,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,15,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,70,0,0,0,0,0,0,110,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
