spp,Phylum,Class,Order,Family,Genus,Species,Past Gen,Authority,Common name,Migrants,Natural hybrid,Cryptic species complex,Endemic to Singapore,Global IUCN status,RDB2 status,RDB3 status,First known,Last known,No. of digital records and specimens,Actual generation time,Actual x 3,"% change [from 1980s to 2010s, based on 1980s]",Modelled rate of change,Modelled rate (p-value),pop <50,pop <250,pop <1000,pop <2500,pop <10000,Habitat loss,Habitat modification,Declining water quality,Sedimentation,Harmful algal blooms,Oil spills,Light pollution,Noise pollution,Warming,Acidification,Extraction,Invasive displacement,Threats still operating,Threats ceased,Habitat and ecology,sites ≤5 (named),sites >5,Area protection taken,Species recovery programme taken,Habitat restoration taken,Habitat creation taken,Maritime regulation taken,Area protection required,Species recovery programme required,Habitat restoration required,Habitat creation required,Maritime regulation required,Justifications,Remarks,References
Acropora abrotanoides,Cnidaria,Anthozoa,Scleractinia,Acroporidae,Acropora,abrotanoides,Acropora,"(Lamarck, 1816)",,No,No,No,No,LC,-,DD,1992 (REST Survey),1995 (Loo & Chou),1,10,30,-100,-0.00429,0.527623,,,,,,X,X,X,X,,,,,X,X,,,X,,"Colonies branching. 
Hermaphroditic broadcaster.",,,,,,,,,,,,,"DD, as not recorded sufficiently from surveys to infer decline.",,Loo & Chou 1995
Acropora aculeus,Cnidaria,Anthozoa,Scleractinia,Acroporidae,Acropora,aculeus,Acropora,"(Dana, 1846)",Bottlebrush coral,No,No,No,No,VU,-,DD,"1985 (ZRC, 19850701)",2018 (Wong et al),9,10,30,,0.01022,0.002835,,,,,,X,X,X,X,,,,,X,X,,,X,,"Colonies branching.
Hermaphroditic broadcaster.","LZ-E, PSD-NW, PSL-SE, RL-W",,,"X (Sam et al, in situ nursery)",,,X (Raffles),,,,,,"DD, as % cover change only quantified for < 10 years. 
",,"Iffah(LKCNHM); Huang et al 2009; Wong et al 2018

Goh et al 1989 (anomuran symbionts); Sam et al 2018 (cuttlefish egg deposition)"
Acropora acuminata,Cnidaria,Anthozoa,Scleractinia,Acroporidae,Acropora,acuminata,Acropora,"(Verrill, 1864)",,No,No,No,No,VU,-,VU,"1986 (ZRC, 19860902)",2019 (Chow et al),4,10,30,-97.73195876,-0.01052,0.504073,,,,,,X,X,X,X,,,,,X,X,,,X,,"Colonies branching, tabulate.
Hermaphroditic broadcaster.",SJ-W,,,,,,,X,,X,,X,"Not found at many sites. Population decline not significant.

Documented from other reefs in the region (Huang et al 2015).

Downgraded from status in Part 1 [initial (local) assessment based on RDB2 methodology]: Expected to receive immigration of propagules, or immigration of propagules not expected to decrease.",,Iffah(LKCNHM); Loo & Chou 1995; Chow et al 2019
Acropora anthocercis,Cnidaria,Anthozoa,Scleractinia,Acroporidae,Acropora,anthocercis,Acropora,"(Brook, 1893)",,No,No,No,No,VU,-,VU,1995 (Loo & Chou),2019 (Chow et al),2,10,30,-86.30136986,-0.00046,0.945868,,,,,,X,X,X,X,,,,,X,X,,,X,,"Colonies tabulate.
Hermaphroditic broadcaster.",PSD-NW,,,,,,,X,,X,,X,"Not found at many sites. Population decline not significant.

Documented from other reefs in the region (Huang et al 2015).

Downgraded from status in Part 1 [initial (local) assessment based on RDB2 methodology]: Expected to receive immigration of propagules, or immigration of propagules not expected to decrease.",,Loo & Chou 1995; Chow et al 2019
Acropora aspera,Cnidaria,Anthozoa,Scleractinia,Acroporidae,Acropora,aspera,Acropora,"(Dana, 1846)",Green staghorn coral,No,No,No,No,VU,-,EN,2009 (Huang et al),2020 (Quek et al),2,10,30,,,,,,,,,X,X,X,X,,,,,X,X,,,X,,"Colonies branching. 
Hermaphroditic broadcaster.",,,,,,,,X,X,X,,X,"Not found at many sites. Recent population change unknown.

Documented from other reefs in the region (Huang et al 2015).

Downgraded from status in Part 1 [initial (local) assessment based on RDB2 methodology]: Expected to receive immigration of propagules, or immigration of propagules not expected to decrease.","May be listed as ""pinecone acropora"" in some intertidal areas (Hantu) by WildSingapore, but ID cannot be confirmed based on pictures alone.

In Lim et al 2020, Acropora is only listed at genus level","Huang et al 2009

Quek et al 2020 (baits)"
Acropora austera,Cnidaria,Anthozoa,Scleractinia,Acroporidae,Acropora,austera,Acropora,"(Dana, 1846)",,No,No,No,No,NT,-,DD,1881 (as Madrepora austera; Studer),2009 (Huang et al),4,10,30,-100,-0.00659,0.313323,,,,,,X,X,X,X,,,,,X,X,,,X,,"Colonies branching.
Hermaphroditic broadcaster.",,,,,,,X (Raffles),,,,,,"DD, as not recorded sufficiently from surveys to infer decline.",,Studer 1881; Loo & Chou 1995; Guest et al 2005a; Huang et al 2009
Acropora cerealis,Cnidaria,Anthozoa,Scleractinia,Acroporidae,Acropora,cerealis,Acropora,"(Dana, 1846)",,No,No,No,No,LC,-,DD,1881 (as Madrepora cerealis; Studer),2009 (Huang et al),4,10,30,,,,,,,,,X,X,X,X,,,,,X,X,,,X,,"Colonies branching.
Hermaphroditic broadcaster.",,,,,,,X (Raffles),,,,,,"DD, as not recorded sufficiently from surveys to infer decline.",,Studer 1881; Iffah(LKCNHM); Guest et al 2005a; Huang et al 2009
Acropora chesterfieldensis,Cnidaria,Anthozoa,Scleractinia,Acroporidae,Acropora,chesterfieldensis,Acropora,"Veron & Wallace, 1984",,No,No,No,No,LC,-,DD,"1991 (ZRC, 19910600)",1995 (Loo & Chou),2,10,30,-100,-0.01294,0.22696,,,,,,X,X,X,X,,,,,X,X,,,X,,"Colonies tabulate.
Hermaphroditic broadcaster.",,,,,,,,,,,,,"DD, as not recorded sufficiently from surveys to infer decline.",,Iffah(LKCNHM); Loo & Chou 1995
Acropora cytherea,Cnidaria,Anthozoa,Scleractinia,Acroporidae,Acropora,cytherea,Acropora,"(Dana, 1846)",Table coral,No,No,No,No,LC,-,DD,1956 (as Acropora cf. corymbosa; Purchon),2009 (Huang et al),7,10,30,,,,,,,,,X,X,X,X,,,,,X,X,,,X,,"Colonies tabulate.
Hermaphroditic broadcaster.",,,,,,,X (Raffles),,,,,,"DD, as not recorded sufficiently from surveys to infer decline.",,"Purchon 1956; Chuang 1961; Iffah(LKCNHM); Huang et al 2009

Goh et al 1989 (anomuran symbionts)"
Acropora dendrum,Cnidaria,Anthozoa,Scleractinia,Acroporidae,Acropora,dendrum,Acropora,"(Bassett-Smith, 1890)",,No,No,No,No,VU,-,DD,"1986 (ZRC, 19860909)",1989 (Goh et al),2,10,30,,,,,,,,,X,X,X,X,,,,,X,X,,,X,,"Colonies branching.
Hermaphroditic broadcaster.",,,,,,,,,,,,,"DD, as not recorded sufficiently from surveys to infer decline.",,"Iffah(LKCNHM)

Goh et al 1989 (anomuran symbionts)"
