Code,ID,Replicate,Site,Day,Month,Year,Date,Latitude,Longitude,Zone,Type,Depth,Surveyors,Location,Abun,TRic,TDiv,PRic,PDiv,nbsp,sing.sp,FRic,qual.FRic,FEve,FDiv,FDis,RaoQ,CWM.grow,CWM.skel,CWM.corwidth,CWM.cmd,CWM.col,CWM.repmode,CWM.sex,CWM.symb,CWM.branching,CWM.encrusting,CWM.laminar,CWM.massive,CWM.submassive
CY-N-D3-1986-4-29-T1,SGRET1002-1,1,CY-N,29,4,1986,29/04/1986,1.258333333,103.7586111,Slope,Patch,3,REST,Cyrene Reef,0.105,5,0.736326531,545.4420429,46.21253867,5,5,0.080930868,0.221688265,0.705875275,0.732733388,0.116294549,0.024411645,13.19933994,1.413415301,33.30074405,93.9702381,0.857142857,1,0.857142857,0,0,0.683333333,0.504761905,0.276785714,0.094047619
CY-N-D3-1986-4-29-T2,SGRET1002-2,2,CY-N,29,4,1986,29/04/1986,1.258333333,103.7586111,Slope,Patch,3,REST,Cyrene Reef,0.5975,5,0.202412423,923.7641401,36.69944455,5,5,0.10296202,0.221688265,0.406271331,0.597079305,0.059377579,0.011890094,11.68801367,1.284937163,12.90607671,641.2712692,0.966527197,0.998493724,0.075313808,0,0.034644351,0.028842399,0.046694561,0.924686192,0.016317992
CY-N-D3-1986-4-29-T3,SGRET1002-3,3,CY-N,29,4,1986,29/04/1986,1.258333333,103.7586111,Slope,Patch,3,REST,Cyrene Reef,0.0375,3,0.586666667,818.2917914,185.2521147,3,3,0.154914028,0.221688265,0.84781045,0.832487763,0.168085823,0.031084148,12.55669595,1.621555556,27.40513889,327.6055556,0.866666667,1,0.333333333,0,0,0.353333333,0.533333333,0.383333333,0.836111111
CY-N-D3-1986-4-29-T4,SGRET1002-4,4,CY-N,29,4,1986,29/04/1986,1.258333333,103.7586111,Slope,Patch,3,REST,Cyrene Reef,0.18,6,0.552469136,894.0451332,167.7490362,6,6,0.262725862,0.221688265,0.622414831,0.509240486,0.111749641,0.015592389,20.0748071,1.158214286,13.57472854,190.1448413,1,1,0.305555556,0,0.086574074,0.389351852,0.211111111,0.328703704,0.603703704
CY-N-D3-1986-4-29-T5,SGRET1002-5,5,CY-N,29,4,1986,29/04/1986,1.258333333,103.7586111,Slope,Patch,3,REST,Cyrene Reef,0.255,10,0.838908112,1198.845793,135.1749275,10,10,0.230260507,0.221688265,0.67535656,0.835664818,0.128960772,0.020346477,22.29114907,1.246897429,10.25908622,232.3431373,1,0.975490196,0.763305322,0,0.052790347,0.519255907,0.498491704,0.404223228,0.234992459
CY-N-D3-1991-11-20-T1,SGRET2018-1,1,CY-N,20,11,1991,20/11/1991,1.258333333,103.7586111,Slope,Patch,3,REST,Cyrene Reef,0.0025,1,0,351.6095832,0,1,1,0,0.221688265,0,0,0,0,10,NA,370,52,1,1,0,0,0,0,0,1,0
CY-N-D3-1991-11-20-T2,SGRET2018-2,2,CY-N,20,11,1991,20/11/1991,1.258333333,103.7586111,Slope,Patch,3,REST,Cyrene Reef,0.02,2,0.48,466.6822082,55.23486004,2,2,0,0.221688265,0,0,0.227667047,0.053991963,5.675219638,1.72,70.75666667,189.3166667,0.6,1,0.6,0,0,0.626666667,0.6,0.4,0
CY-N-D3-1991-11-20-T3,SGRET2018-3,3,CY-N,20,11,1991,20/11/1991,1.258333333,103.7586111,Slope,Patch,3,REST,Cyrene Reef,0,0,0,0,0,0,0,0,0.221688265,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CY-N-D3-1991-11-20-T4,SGRET2018-4,4,CY-N,20,11,1991,20/11/1991,1.258333333,103.7586111,Slope,Patch,3,REST,Cyrene Reef,0.023,3,0.490548204,399.7817485,12.57311371,3,3,0.001626448,0.221688265,0.881979677,0.538766023,0.029647915,0.001082897,8.945725108,1.240905797,15.1359375,66.83695652,1,1,1,0,0,0.511956522,0.282608696,0.550271739,0.36576087
CY-N-D3-1991-11-20-T5,SGRET2018-5,5,CY-N,20,11,1991,20/11/1991,1.258333333,103.7586111,Slope,Patch,3,REST,Cyrene Reef,0.018,2,0.461419753,466.6822082,53.09678225,2,2,0,0.221688265,0,0,0.083530717,0.007560774,4.4,1.446296296,11.44756944,51.25,0.680555556,1,1,0,0,0.536111111,0.680555556,0.319444444,0.144444444
