Code,ID,Location,Site,Day,Month,Year,Date,Latitude,Longitude,Zone,Type,Depth,Replicate,Surveyors,Abun,TRic,TDiv,PRic,PDiv,nbsp,sing.sp,FRic,qual.FRic,FEve,FDiv,FDis,RaoQ,CWM.grow,CWM.skel,CWM.corwidth,CWM.cmd,CWM.col,CWM.repmode,CWM.sex,CWM.symb,CWM.branching,CWM.encrusting,CWM.laminar,CWM.massive,CWM.submassive
CY-N-D3-1986-4-29-T1,SGRET1002-1,Cyrene Reef,CY-N,29,4,1986,29/04/1986,1.258333333,103.7586111,Slope,Patch,3,1,REST,0.105,5,0.736326531,545.4420429,46.21253867,5,5,0.079585819,0.049096653,0.793331195,0.663535023,0.076302603,0.010305113,20.01923077,1.206153846,21.12238095,82.19047619,1,1,1,0,0,0.857142857,1,0,0.19047619
CY-N-D3-1986-4-29-T2,SGRET1002-2,Cyrene Reef,CY-N,29,4,1986,29/04/1986,1.258333333,103.7586111,Slope,Patch,3,2,REST,0.5975,5,0.202412423,923.7641401,36.69944455,5,5,0.338325348,0.049096653,0.400929637,0.640546068,0.04026831,0.006473584,11.22077922,1.257597403,12.42677824,636.7782427,1,1,0,0,0.075313808,0.025104603,0,1,0.012552301
CY-N-D3-1986-4-29-T3,SGRET1002-3,Cyrene Reef,CY-N,29,4,1986,29/04/1986,1.258333333,103.7586111,Slope,Patch,3,3,REST,0.0375,3,0.586666667,818.2917914,185.2521147,3,3,0.235689487,0.049096653,0.680684421,0.641018931,0.100826461,0.015956716,16.90769231,1.558461538,27.37333333,68.33333333,1,1,1,0,0,0,1,0,1.066666667
CY-N-D3-1986-4-29-T4,SGRET1002-4,Cyrene Reef,CY-N,29,4,1986,29/04/1986,1.258333333,103.7586111,Slope,Patch,3,4,REST,0.18,6,0.552469136,882.7480461,167.6444335,6,6,0.822285883,0.049096653,0.609520596,0.707335483,0.09287815,0.01085438,24.82307692,1.605833333,14.31666667,228.9444444,1,1,0,0,0,0.083333333,0,0,1.416666667
CY-N-D3-1986-4-29-T5,SGRET1002-5,Cyrene Reef,CY-N,29,4,1986,29/04/1986,1.258333333,103.7586111,Slope,Patch,3,5,REST,0.255,12,0.877354864,1207.539986,135.331008,12,12,1.929314307,0.049096653,0.791101153,0.713004533,0.110699233,0.016862632,22.32228571,1.338769231,10.57647059,191.4893617,1,1,1,0,0,0.568627451,1,0,0.235294118
CY-S-D3-1986-5-2-T1,SGRET1006-1,Cyrene Reef,CY-S,2,5,1986,2/05/1986,1.257222222,103.7533333,Slope,Patch,3,1,REST,0.535,20,0.916787492,1339.266416,91.37976486,20,20,1.007245413,0.049096653,0.771946469,0.88223407,0.073117484,0.008043212,14.6344856,1.309248,11.35115265,139.9945355,1,1,1,0,0,0.638317757,0,0,0.521495327
CY-S-D3-1986-5-2-T2,SGRET1006-2,Cyrene Reef,CY-S,2,5,1986,2/05/1986,1.257222222,103.7533333,Slope,Patch,3,2,REST,0.537,13,0.901405838,1327.486401,191.0461489,13,13,1.13847245,0.049096653,0.845172113,0.839455658,0.118156419,0.015594502,20.84045394,1.398393665,8.932029795,225.9776536,1,1,1,0,0,0.418063315,1,0,0.46461825
CY-S-D3-1986-5-2-T3,SGRET1006-3,Cyrene Reef,CY-S,2,5,1986,2/05/1986,1.257222222,103.7533333,Slope,Patch,3,3,REST,0.3255,17,0.9104273,1477.577164,132.7721473,17,17,1.128894618,0.049096653,0.82587046,0.820089968,0.083729828,0.013331024,19.8842411,1.23691358,15.0781106,153.3562823,1,1,1,0,0,0.87250384,1,0,0.56374808
CY-S-D3-1986-5-2-T4,SGRET1006-4,Cyrene Reef,CY-S,2,5,1986,2/05/1986,1.257222222,103.7533333,Slope,Patch,3,4,REST,0.546,18,0.888363925,1467.753909,133.0267266,18,18,1.727130431,0.049096653,0.685289179,0.846317955,0.105644029,0.013699791,18.57379063,1.341205346,10.45787546,179.6866097,1,1,1,0,0,0.487179487,1,0,0.343406593
CY-S-D3-1986-5-2-T5,SGRET1006-5,Cyrene Reef,CY-S,2,5,1986,2/05/1986,1.257222222,103.7533333,Slope,Patch,3,5,REST,0.417,16,0.891002306,1361.213736,124.6026846,16,16,1.806186588,0.049096653,0.732854235,0.835983637,0.104783785,0.014362076,20.05553029,1.36010929,8.260371703,162.2182254,1,1,1,0,0,0.571942446,1,0,0.507194245
