spp,modgen,pastgen,grow,n.grow,sd.grow,skel,n.skel,sd.skel,calc,n.calc,sd.calc,corwidth,n.corwidth,cmd,n.cmd,col,repmode,sex,symb,gf.branching,gf.encrusting,gf.laminar,gf.massive,gf.submassive,lh.competitive,lh.stress-tolerant,lh.weedy,lh.generalist,lh.datadeficient
Acanthastrea echinata,Acanthastrea,Acanthastrea,12.6,1,NA,1.32,1,NA,1.66,1,NA,NA,NA,70,1,1,1,1,0,0,1,0,1,0,0,1,0,0,0
Acanthastrea rotundoflora,Acanthastrea,Acanthastrea,20.6,1,NA,1.05,1,NA,2.15,1,NA,NA,NA,50,1,1,1,NA,0,0,1,0,0,1,0,0,0,0,1
Acropora abrotanoides,Acropora,Acropora,127.5,1,NA,NA,NA,NA,NA,NA,NA,0.95,2,NA,NA,1,1,1,0,1,0,0,0,0,0,0,0,0,1
Acropora aculeus,Acropora,Acropora,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.9,2,300,3,1,1,1,0,1,0,0,0,0,0,0,0,0,1
Acropora acuminata,Acropora,Acropora,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.9,2,200,3,1,1,1,0,1,0,0,0,0,0,0,0,0,1
Acropora anthocercis,Acropora,Acropora,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.05,2,100,2,1,1,1,0,1,0,1,0,0,0,0,0,0,1
Acropora aspera,Acropora,Acropora,48.5226,40,14.00566431,1.245,2,NA,1.91,1,NA,1.4,2,NA,NA,1,1,1,0,1,0,0,0,0,1,0,0,0,0
Acropora austera,Acropora,Acropora,62.9,1,NA,1.44,1,NA,2.26,1,NA,1.05,2,NA,NA,1,1,1,0,1,0,0,0,0,0,0,0,0,1
Acropora cerealis,Acropora,Acropora,42.9,4,20.55739932,NA,NA,NA,NA,NA,NA,0.55,2,50,2,1,1,1,0,2,0,0,0,0,1,0,0,0,0
Acropora chesterfieldensis,Acropora,Acropora,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.85,2,NA,NA,1,1,NA,0,1,0,0,0,1,0,0,0,0,1
Acropora cytherea,Acropora,Acropora,59.725,4,29.88448594,1.29,1,NA,1.93,1,NA,0.85,2,300,3,1,1,1,0,0,0,1,0,0,1,0,0,0,0
Acropora dendrum,Acropora,Acropora,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.85,2,100,3,1,1,1,0,1,0,0,0,0,0,0,0,0,1
Acropora digitifera,Acropora,Acropora,37.6,1,NA,1.48,2,NA,1.82,2,NA,1.1,2,100,1,1,1,1,0,0,0,1,0,1,0,0,0,0,1
Acropora divaricata,Acropora,Acropora,41.5,1,NA,NA,NA,NA,NA,NA,NA,0.9,2,80,1,1,1,1,0,0,0,1,0,0,1,0,0,0,0
Acropora donei,Acropora,Acropora,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.1,2,300,3,1,1,1,0,1,0,0,0,0,0,0,0,0,1
Acropora elseyi,Acropora,Acropora,135.05,2,61.94255403,NA,NA,NA,NA,NA,NA,0.75,2,50,2,1,1,1,0,1,0,0,0,0,1,0,0,0,0
Acropora florida,Acropora,Acropora,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.05,2,1500,1,1,1,1,0,1,0,0,0,0,1,0,0,0,0
Acropora glauca,Acropora,Acropora,NA,NA,NA,1.46,1,NA,NA,NA,NA,1.1,2,NA,NA,1,1,1,0,0,0,1,0,0,1,0,0,0,0
Acropora grandis,Acropora,Acropora,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.25,2,700,4,1,1,1,0,1,0,0,0,0,1,0,0,0,0
